filename,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40
sample_0000.jpg,C,C,C,D,D,C,A,B,A,D,C,B,A,D,A,D,D,D,A,B,C,D,C,B,B,D,A,C,B,C,A,D,A,C,A,C,C,A,B,C
sample_0001.jpg,B,C,C,B,B,A,D,D,C,C,B,B,C,C,A,A,C,B,D,B,B,D,D,B,C,B,B,A,D,B,C,A,D,D,C,A,A,D,B,D
sample_0002.jpg,C,B,B,A,C,A,B,A,C,B,B,D,B,A,B,D,B,D,D,A,D,D,A,C,C,D,D,C,B,D,A,C,D,C,A,A,A,D,C,D
sample_0003.jpg,A,C,D,C,B,D,B,B,B,C,B,D,D,A,C,A,A,C,A,D,B,A,A,D,B,B,A,A,C,A,D,D,B,B,C,D,C,D,C,D
sample_0004.jpg,D,A,C,D,D,D,C,C,B,A,A,B,D,C,C,D,C,D,B,D,D,B,D,A,C,B,B,A,B,A,B,A,D,B,B,A,C,B,D,B
sample_0005.jpg,C,D,C,B,C,A,B,C,B,B,C,C,B,C,C,A,C,B,B,C,C,B,B,A,D,B,A,D,A,D,B,C,B,D,B,D,C,B,D,C
sample_0006.jpg,A,A,A,C,C,B,B,A,B,A,B,D,C,A,D,D,D,B,D,A,D,A,C,D,A,C,C,B,B,D,B,C,C,A,C,D,C,D,C,B
sample_0007.jpg,C,C,B,C,B,B,D,D,B,B,A,C,D,C,A,B,D,C,A,A,A,B,A,D,B,C,C,B,A,D,D,D,D,A,C,D,C,C,B,A
sample_0008.jpg,C,B,B,A,B,A,C,A,D,C,B,B,D,C,C,D,A,A,B,B,A,A,C,C,A,D,B,B,C,D,A,C,C,C,A,C,C,A,A,A
sample_0009.jpg,A,B,A,C,B,C,A,D,D,D,C,D,D,C,A,D,A,C,A,A,B,B,B,C,B,D,B,C,B,B,A,C,C,A,A,D,B,B,B,C
sample_0010.jpg,B,C,B,B,C,C,D,D,A,A,C,C,B,B,A,D,D,C,B,A,C,C,D,A,A,B,D,C,C,B,B,C,D,B,D,B,C,A,B,C
